CVE_ID,Tag,iscore,,cvss
CVE-2023-37419,directory traversal,2,,7.8
CVE-2023-37420,directory traversal,2,,7.8
CVE-2023-37442,directory traversal,2,,7.8
CVE-2023-37443,directory traversal,2,,7.8
CVE-2023-37444,directory traversal,2,,7.8
CVE-2023-37445,directory traversal,2,,7.8
CVE-2023-37446,directory traversal,2,,7.8
CVE-2023-37447,directory traversal,2,,7.8
CVE-2023-37573,directory traversal,2,,7.8
CVE-2023-37574,directory traversal,2,,7.8
CVE-2023-37575,directory traversal,2,,7.8
CVE-2023-37576,directory traversal,2,,7.8
CVE-2023-37577,directory traversal,2,,7.8
CVE-2023-37578,directory traversal,2,,7.8
CVE-2023-37607,directory traversal,2,,7.5
CVE-2023-37608,directory traversal,2,,7.5
CVE-2023-37644,directory traversal,2,,5.5
CVE-2023-37921,directory traversal,2,,7.8
CVE-2023-37922,directory traversal,2,,7.8
CVE-2023-37923,directory traversal,2,,7.8
CVE-2023-37932,directory traversal,2,,6.5
CVE-2023-37934,rce,5,,4.3
CVE-2023-38267,rce,5,,6.2
CVE-2023-38583,directory traversal,2,,7.8
CVE-2023-38607,directory traversal,2,,5.5
CVE-2023-38610,directory traversal,2,,7.1
CVE-2023-38612,directory traversal,2,,3.3
CVE-2023-38618,directory traversal,2,,7.8
CVE-2023-38619,directory traversal,2,,7.8
CVE-2023-38620,directory traversal,2,,7.8
CVE-2023-38621,directory traversal,2,,7.8
CVE-2023-38622,directory traversal,2,,7.8
CVE-2023-38623,directory traversal,2,,7.8
CVE-2023-38648,directory traversal,2,,7.8
CVE-2023-38649,directory traversal,2,,7.8
CVE-2023-38650,directory traversal,2,,7
CVE-2023-38651,directory traversal,2,,7
CVE-2023-38652,directory traversal,2,,7
CVE-2023-38653,directory traversal,2,,7
CVE-2023-38657,directory traversal,2,,7.8
CVE-2023-38674,log forging,3,,4.7
CVE-2023-38675,log forging,3,,4.7
CVE-2023-38676,log forging,3,,4.7
CVE-2023-38677,log forging,3,,4.7
CVE-2023-38678,log forging,3,,4.7
CVE-2023-38827,directory traversal,2,,6.1
CVE-2023-39234,directory traversal,2,,7.8
CVE-2023-39235,directory traversal,2,,7.8
CVE-2023-39270,directory traversal,2,,7.8
CVE-2023-39271,directory traversal,2,,7.8
CVE-2023-39272,directory traversal,2,,7.8
CVE-2023-39273,directory traversal,2,,7.8
CVE-2023-39274,directory traversal,2,,7.8
CVE-2023-39275,directory traversal,2,,7.8
CVE-2023-39316,directory traversal,2,,7.8
CVE-2023-39317,directory traversal,2,,7.8
CVE-2023-39336,directory traversal,2,,8.8
CVE-2023-39413,directory traversal,2,,7
CVE-2023-39414,directory traversal,2,,7
CVE-2023-39443,directory traversal,2,,7.8
CVE-2023-39444,directory traversal,2,,7.8
CVE-2023-39655,log forging,3,,9.6
CVE-2023-39853,directory traversal,2,,6.5
CVE-2023-4001,directory traversal,2,,6.8
CVE-2023-40250,directory traversal,2,,8.8
CVE-2023-40362,directory traversal,2,,4.3
CVE-2023-40383,directory traversal,2,,3.3
CVE-2023-40385,directory traversal,2,,6.5
CVE-2023-40393,directory traversal,2,,7.5
CVE-2023-40394,directory traversal,2,,3.3
CVE-2023-40411,directory traversal,2,,5.5
CVE-2023-40414,directory traversal,2,,9.8
CVE-2023-40430,log forging,3,,5.5
CVE-2023-40433,log forging,3,,5.5
CVE-2023-40437,log forging,3,,5.5
CVE-2023-40438,directory traversal,2,,5.5
